ovallcon,count
ACV ISQUÉMICO AGUDO TERITORIO ACM DERECHA,1
INSUF MITRAL MODERADA + ESTENOSIS AO LEVE,1
NEUTROPENIA FEBRIL GRADO 4 RECUPERADA,1
NEOPLASIA SEROSO-PAPILAR ORIGEN OVÁRICO ESTADIO IV.,1
ENFERMEDAD RENAL CRONICA AGUDIZADA ( PRERENAL ),1
POSTOPERATORIO RECIENTE DE CIRUGIA DE CADERA,1
ÚLCERA POR DECÚBITO EN SACRO GRADO IV INFECTADA,1
DOLOR EEII ( NEUROPATICO ? ),1
ALT. HIDROELECTROLITICAS.,1
OSTEOPOROSIS SEVERA PREDOMINIO AXIAL,1
"INFARTO AGUDO EXTENSO EN TERRITORIO ACMD, CAUSA CARDIOEMBÓLICA",1
PRURIGO NODULAR,1
HEMATURIA MACROSCOPICA CON COAGULOS,1
HIPONATREMIA. IRC.,1
- MULTIPLES FRACTURAS COSTALES,1
IRA RESUELTA AL ALTA,1
"DERRAME PLEURAL DERECHO, RESUELTO",1
"ANEMIA MODERADA MACROCÍTICA, POSIBLE S.MIELODISPLÁSICO",1
INSUF RENAL AGUDA DE  CAUSA PRERRENAL: RESUELTA,1
PROTESIS HOMBRO DCHO PREVIA,1
SCA POST-IQ MENINGIOMA FRONTAL DERECHO,1
ICC CON FEVI REDUCIDA,1
PROBABLE ENFERMEDAD DE PARKINSO.,1
"CA PENE (RECIDIVA LOCAL, GANGLIONAR Y A DISTANCIA)",1
ANEMIZACIÓN LEVE SECUNDARIA,1
SD CORONARIO AGUDO RECIENTE SIN ELEVACIÓN DEL ST MARCADORES ELEVADOS,1
ICTUS ISQUEMICO PROBABLE TERRITORIO GANGLIOBASAL IZQUIERDO,1
POLITRAUMATISMO EN ACCIDENTE DE TRAFICO 02/09/2021.,1
FRACTURA -APLASTAMIENTO D9,1
HIPOTA SINTOMATICA,1
RAO-HEMATURIA EXVACUO,1
AGRAVAMIENTO DE HEMIPARESIA IZDA PREVIA,1
TROMBOEMBOLISMO PULMONAR AGUDO DERECHO,1
ENFREMEDAD DE ALZHEIMER,1
ITU E. COLI BLEE POSITIVO,1
INSUFICIENCIA CARDIACA CON FIBRILACIÓN AURICULAR PAROXISTICA,1
CARDIOPATIA ISQUEMICA CRONICA ( ENFERMEDAD DE 3 VASOS),1
INFECCIÓN URINARIA POR KLEBSIELLA PNEUMONIE CON BACTERIEMIA,1
SAOS + CPAP,1
INSUFICIENCIA RESPIRATOIRA,1
PSEUDOGOTA,1
REACCION POSTVACUNAL,1
PROBABLE S.OBESIDAD-HIPOVENTILACIÓN,1
DORSOLUMBALGIA CRÓNICA REAGUDIZADA,1
SINDROME CONFUSIONAL CRÓNICO EXCERBADO,1
TEP (29/11/2021),1
FRACTURA PATOLÓGICA HÚMERO DERECHO,1
TCE CON HERIDA  CONTUSO CORTANTE OCCIPITAL,1
FRACTURA AGUDA EN  L1,1
LESIÓN TUMORAL MAMA IZQUIERDA,1
OTITIS EXTERNA DERECHA,1
SINDROME CONFUCIONAL 2RIO,1
ÍLEO PARALÍTICO NO OBSTRUCTIVO 2º HERNIA,1
CANCER DE PULMÓN,1
DEDOS EN RESORTE 3º MANO IZQUIERDA,1
ÚLCERA MALEOLO EXTERNO DCHO.,1
DESCOMPENSACIÓN DIABÉTICA SECUNDARIA,1
FRACASO MULTIORGANICO QUE PRECISO INGRESO EN UCI.,1
AP: ADC COLON CON MTX PULMONARES ( OPERDADOS ),1
GRAN HEMATOMA INTRAPARENQUIMATOSO TEMPORAL IZQUIERDO,1
ANEMIA PROBABLEM/ SECUNDARIA A HEMATOMAS,1
INFECCIÓN URINARIA GRAVE POR E.COLI,1
RADICULOPATIA L3- L4 - 5.,1
HERIDA FRONTAL IZQUIERDA ABIERTA,1
ICTUS VERTEBROBASILAR DCHO,1
DEMENCIA  CON INGESTA  IRREGULAR DE  ALIMENTOS,1
CONTUSION COSTAL BILATERAL?,1
BRONQUITIS ESPÁSTICA,1
HEMATOMA EN RODILLA IZQUIERDA POSTRAUMÁTICO,1
PROBABLE CA DE PULMÓN IZQUIERDO,1
ICTUS ISQUEMICO POSTEROLATERAL IZQUIERDO BULBO RAQUIDEO ATEROTROMBOTIC,1
DUDOSA LOE HEPATICA,1
AFASIA BROCA,1
ESQUIZOFRENIA SIMPLE,1
EXTIRPACION DE ENCONDROMA + INJERTO DE CRESTA ILIACA + OSTEOSINTESIS,1
ICC.I,1
NEOP,1
ALTERACIÓN HIDROELECTROLÍTICA:HIPOPOTASEMIA,1
HIPOPOTASEMIA EN FASE DE RESOLUCIÓN,1
CA DE ESTOMAGO VS COLON PROBABLE CON MTXS HEPÁTICAS MÚLTIPLES,1
DIARREA DE POSIBLE ORIGEN INFLAMATORIO.,1
... CON TRANSFORMACIÓN HEMORRÁGICA Y EFECTO MASA,1
"CUADRO DE VÉRTIGOS AGUDOS, CAUSA PERIFÉRICA",1
VOLUMINOSA EXTRUSIÓN DISCAL L5-S1 IZQUIERDA,1
PORTADORA DE MCP BICAMERAL,1
DERRAME PLEURAL DERECHO CRONICO,1
FRACTURA DE LA PARED LATERAL Y DEL SUELO DE LA ÓRBITA DERECHA,1
ESCOLIOSIS  LUMBAR CONVEXIDAD IZQUIERDA,1
HEMORRAGIA AGUDA EN TIENDA DEL CEREBELO SIN EFECTO MASA,1
HIDROCEFALIA EN PROGRESIÓN.,1
INFECCIÓN RESPIRATORIA POR ACINETOBACTER BAUMANNII COMPLEX,1
TCE CON DUDOSA PERDIDA,1
ITUS NOSOCOMIALES RECURRENTES X ENTERCOCO + K. PNEU BLEE+,1
FRACTURA ACETABULAR.,1
EMO TOBILLO IZDO.,1
"EPOC, AGUDIZACIÓN POR PSEUDOMONAS AERUGINOSA",1
AMPUTACION FEMORAL MB. INF. DCHO (10/04/2020),1
- IOT,1
FRACTURA INTERTROCANTEREA IZQUIERDA,1
INFERTO LACUNAR EN TÁLAMO IZQUIERDO,1
INFECCION RESPIRATORIA AGUDA EN PACIENTE CON AP DE:,1
INSUFICIENCA CARDÍACA AGUDA,1
EPISODIO SINCOPAL A ESTUDIO.,1
PATRON DE COLESTASIS,1
INSUF RESPIRATORIA PERSISTENTE,1
INFECCION DEL TRACTO URINARIO EN PACIENTE CON ADC DE PROSTATA MTX,1
ULCERA MALEOLO EXTERNO DERECHO 2RIO A CAIDA,1
SECUELAS MENISCECTOMIA DE RODILLA IZQUIERDA,1
FRACTURA L4 EVOLUCIONADA,1
AMPUTACION TMT º DEDO PIE IZQ,1
HIPOALBUMINEMIA. DESNUTRICIÓN,1
"FRACTURA-APLASTAMIENTO AGUDO D12, L2-L3",1
RECTORRAGIAS AUTOLIMITADAS CON ANEMIA NORMOCITICA NORMOCROMICA,1
MASA INGUINAL,1
ENFERMEDAD DE PAGET ÓSEA,1
-NEUMONIA BASAL IZQ.,1
SÍNDROME CONFUSIONAL SECUNDARIO A DÉFICIT AUDITIVO SEVERO,1
LUBOCITALGIA POST TRAUMATICA,1
ITU POR K.OZAENAE,1
FRACTURA FACIALES,1
S. RIGIDO-ACINETICO,1
FIBRILACION AURICULAR ANTICOAGULADA CON EDOXABAN,1
TROMBOSITOSIS,1
OCLUSIÓN DE ACP P1-P2 DERECHA.,1
ICTUS LACUNAR DEL AMANECER,1
2 TEST SARS-COV-2  NEGATIVOS.,1
ACUÑAMIENTO VERTEBRAL L2. VERTEBROPLASTIA L3,1
INSUFICIENCIA  RENAL AGUDA  POST-RENAL,1
REINTERVENCIÓN 24/08/2021 POR PERSISTENCIA DE LOS HEMATOMAS SUBDURALES,1
ULCERA VASCULAR SOBREINFECTADA,1
SINDROME VERTIGINOSO; VPP,1
DIABESTES MELLITUS CON DESCOMPENSACIÓN,1
TENDINOSIS TENDON SUPRAESPINOSO HOMBRO IZQ.,1
ARTROPLASTIA TOTAL RODILLA DCHA  (24/05/2021),1
HTA Y CARDIOPATIA ASOCIADA,1
TROMBO APICAL EN VENTRICULO IZQUIERDO,1
"UPP SACRA Y GLUTEA, INFECCIÓN POLIMICROBIANA",1
- UPP SACEA GLUTEA +,1
VOMITOS DE ETIOLOGIA MULTIFACTORIAL,1
PERITONITIS ESPONTANEA,1
FRACTURA DE LAS RAMAS PELVICAS IZQUIERDAS,1
HERNIA PERIUMBILICAL,1
PIE PENDULO BILATERAL PRED. IZDO.,1
NEUMONIA BILATERAL GRAVE POR COVID 19,1
PROBABLE NEOPLASIA  DIGESTIVA,1
DEMENCIA MIXTA PREDOMINIO VASCULAR. GDS-6,1
"SONDA VESICAL AL INGRESO, RETIRADA CON EXITO",1
FA SIN MENCION DE ANTICOAGULACION O ANTIAGREGACION.,1
INSUFICIENCIA HEPÁTICA AGUDA,1
LESIÓN EN PALA ILIACA DERECHA SUGESTIVA DE METÁSTASIS,1
"POSIBLE NEOPLASIA  DE RECTO , CON HDB POR INR RANGO SUPRATERAPEUTICO",1
ALT RITMO: FA PAROXÍSTICA,1
"CARDIOPATIA ISQUÉMICA TIPO IAM ANTIGUO, FEVI  LIGERAMENTE DEPRIMIDA",1
INFECCION PERIODONTAL,1
HEMIPARESIA DCHA. ALT. EQUILIBRIO Y MARCHA,1
MCP DILATADA CON BAJA FE,1
FRACASO RENAL SOBRE PROBABLE ERC,1
SINDROME CONSTITUCIONAL EN RELACION,1
- INFECCIÓN BRONQUIAL CRONICA POR P. AURIGINOSA.,1
DORSALGIA RECURRENTE,1
PROCESO ISQUEMICO-INFLAMATORIO COLON,1
ROTURA DE MANGUITO ROTADOR DE HOMBRO IZQUIERDO,1
DOLOR COSTADO IZQDO SIN CLARA ETIOLOGÍA.,1
NEUMONÍA ADQUIRIDA EN LA COMUNIDAD LSD DE EVOLUCIÓN TORPIDA,1
ADENOPATIAS RETROPERITONEALES A ESTUDIO,1
DISFAGIA OROFARINGEA SECUELAR,1
FA REVERTIDO FARMACOLOGICAMENTE,1
LUXACIÓN ROTULA IZQUIERDA. LESIÓN DE LFPM.,1
HEMIPARESIA IZDA + DISARTRIA LEVE,1
CARDIOPATIA ISQUEMICA AIM ELEVACION NO PERSISTENTE DEL ST,1
MIGRACION ENZIMATICA CARDIACA,1
COLITIS ISQUÉMICA. MALABSORCIÓN.,1
INFECCION URINARIA   POR E. FAECALIS,1
POLICONTUSIONES Y EROSIONES EN HEMICUERPO DCH,1
ULCERA GASTRICA PENDIENTE DE FILIACION,1
"NEUMONITIS POR HIPERSENSIBILIDAD FIBRÓTICA, AGUDIZACIÓN",1
FIBRILACION AURICULAR DE RECIENTE  DIAGNOSTICO,1
NEOPLASIA HEPÁTICA,1
LACERACION RECTAL YATROGENICA,1
PORTADOR DE SV POR VEJIGA NEUROGENA,1
ADENOCARCINOMA COLON DERECHO CON MTX HEPÁTICAS,1
FRACTURA- ACUÑAMIENTO D11,1
INFECCIÓN SARS COV 2 (NEGATIVIZADA),1
ISCTUS ISQUEMICO SUBAGUDO - CRONICO CEREBELOSO DERECHO,1
ENFERMEDAD RENLA CRÓNICA REAGUDIZAD- IIIB,1
MAL CONTROL DE DOLOR ARTICULAR,1
ALZHEIMER CONOCIDO,1
INFECCIÓN RESPIRATORIA POR ASPERGILLUS PARCIALMENTE TRATADA,1
MIOPATÍA GRAVE DEL ENFERMO CRÍTICO,1
NEOPLASIA PRÓSTATA METASTÁSICA,1
HIPOTIORIDEO,1
RETENCION URINARIA AGUDA CON FRACASO RENAL RESUELTO,1
TERATOMA OVARICO YA CONOCIDO,1
HEMIPLEJIA IZDA + ALT. PERCEPTIVAS - ANOSOGNOSIA,1
ACV HEMORRAGICO RECIENTE EN RHB,1
FRACTURA ACETABULO IZQ,1
ÚLCERA VASCULAR MIEMBRO INFERIOR IZQUIERDO INFECTADA,1
HIPERTENSION PULMONAR MODERA.,1
"NEUMONIA BILATERAL POR SARS-COV 2, GRAVE.",1
ARTROPLASTIA TOTAL RODILLA DCHA (04/05/2021),1
MONOPARESIA MB. SUP. DCHO.,1
FRACTURA-ACUÑAMIENTO L1 (23/02/20) TRAS CAIDA CASUAL,1
FAC EN TRATAMIENTO CON SINTROM CON MAL  CONTROL,1
ANTECEDENTE DE CARDIOPATIA VALVULAR,1
DISFAGIA OROFARÍNGEA SEVERA A SÓLIDOS Y LÍQUIDOS SECUNDARIA.,1
FRACTURA PERIPROTÉSICA EN DIÁFISIS FEMORAL  IZD,1
ESCOLIOSIS. ESPONDILOARTROSIS.,1
ALTERACIONES HIDROELECTROLITICAS:,1
INFECCIÓN DEL TRACTO URINARIO COMPLICADA (E. COLI CARBAPENEMASA +),1
INFARTO LACUNAR EN REGION NUCLEOS BASALES IZQUIERDOS,1
TROMBOSIS MESENTÉRICA VS COLITIS INFECCIOSA,1
- DISFAGIA NEUROGENICA,1
SECUELAS ICTUS VERTEBROBASILAR,1
SEPSIS ORIGEN URINARIA,1
FRACASO RENAL CRÓNICO,1
FRACTURA EN SENO MAXILAR IZQUIERDO,1
ERC AGUDIZADA EN CONTEXTO FUNCIONAL,1
SARCOMA INDIFERENCIADO ENDOBRONQUIAL LID,1
PCR PARA CORONAVIRUS NEGATIVO,1
PROBABLE  FIBROADENOMA MAMA IZQUIERDA,1
AFONIA,1
ROTURA LCA RODILLA DERCHA,1
SEPSIS PULMONAR,1
DESCOMPENSAION DIABETICA TIPO HIPERGLUCEMIA,1
SONDA NASOGÁSTRICA PARA SU ALIMENTACIÓN,1
SINDROME CONFUSIONAL ASOCIADO A DEMENCIA MULTIFACTORIAL,1
HEMATOMA SUBDURAL AGUDO (14/04/20). CRANIECTOMIA + DRENAJE,1
"SHOCK SÉPTICO, FOCO NO CLARO. PROBABLE BRONCOASPIRACIÓN",1
FX DE ROTULA IZD,1
TRAQUEOBRONQUITIS POR KLEBSIELLA RNITHINOLYTICA Y STENOTROPHOMONAS,1
T.C.E (ACCIDENTE DE TRAFICO IN ITINERE (27/09/2019),1
ESTENOSIS ACI DERECHA,1
NECROSIS EN 2º  DEDO PIE DRCH CON BORDES INFLAMADOS EN PCTE CON,1
TROMBECTOMÍA MECÁNICA CON STENT ACI DERECHA EN FASE AGUDA,1
SINCOPE NO PRESENCIADO SECUNDADIO A PROBABLE CARDIOPATIA ISQUEMICA,1
HEMORRAGIA INTRAPARENQUIMATOSA PARIETO OCCIPITAL IZQUIERDA,1
PÉRDIDAS SANGUÍNEAS DIGESTIVAS CON ANEMIZACIÓN SECUNDARIA,1
ICTUS SUBCORTICAL HEMISFERIO DCHO (20/10/2021) NO FOCALIDAD.,1
HIPERGLUCEMIAS EN PROBABLE RELACIÓN CON CORTICOTERAPI CRÓNICA,1
HEMATOMA SUBDURAL C´RONICO CON RESANGRADO,1
NEUMONITIS OBSTRUCTIVA,1
ICTUS ISQUEMICO HEMISFERIO IZDO.,1
LUMBOCRURALGIA DERECHA. HERNIA DISCAL  FORAMINAL L3-L4 DERECHA,1
LIMITACIÓN FUNCIONAL SECUNDARIA A FRACTURA DE PELVIS,1
FEVI CONSRVADA,1
DERRAME PLEURAL IZDO 2º,1
FRACTURA TERCIO DISTAL DE AMBAS CLAVÍCULAS,1
FA PAROXÍSTICA ANTICOAGULADA CON SINTROM,1
"FAC , SIN TTO  ANTICOAGULANTE",1
NEUMONIA BILATERAL POR SARS-COV2,1
FRACTURA EVOLUCIONADA L2,1
INFECCION URINARIA POR KLEBSIELLASENSIBLE A IMIPENEM,1
"ICTUS AGUDO, PERFIL LACUNAR PROBABLE",1
CÓLICO BILIAR RESUELTO,1
CRISIS COMICIALES GENERALIZADAS SECUNDARIAS A ENCEFALOPATÍA,1
"FRACTURA SUBTROCANTEREA IZQUIERDA, CON COLECCIÓN HEMATICA INFECTADA",1
ICTUS ISQUÉMICO LACUNAR HEMISFÉRICO DERECHO,1
SINDROEM CONFUSIONAL AGUDO HIPERACTIVO SECUNDARIO,1
"ANEMIA MICROCÍTICA SEVERA , PRECISA TRANSFUSIÓN SANGUINEA",1
EPOC FENOTIPO A,1
ISQUEMIA CRONICA GRADO IV MII OBSTRUCCION FEMOROPOPLITEA,1
ESTADO HIPEROSMOLAR URÉMICO,1
OSTEOPOROSIS. DÉFICIT DE VIT D,1
UPP PERIANAL.,1
ESTENOSIS  CRITICA  A.C.I. IZQUIERDA,1
FA RANGO INFRATERAPÉUTICO.,1
"ICC  AGUDIZADA, PREDOMINIO ID",1
FRCV +: HTA. DM2 Y DISLIPIDEMIA,1
ÚLCERA GRADO III SACRO,1
PIE PENDULO IZDO - POLINEUROPATIA DEL PACIENTE CRITICO.,1
GLUCEMIA,1
BOCIO MULTINODULAR PENDIENTE DE ESTUDIO,1
EPOC DE ALTO RIESGO AGUDIZADOR ESTADIO V - AGUDIZADO,1
LESION DE SE.,1
OCLUSION INTESTINAL POR BRIDAS EN INTESTINO NO VIABLE,1
LIPOSARCOMA DE CORDON ESPERMATICO DERECHO CON MTX PULMONARES,1
BRONCOPATÍA NO FILIADA,1
ICTUS EMBOLICO A. CEREBRAL MEDIA IZDA 10/11/2021,1
FRACTURA L1 CRÓNICA. (>80%),1
DERRAME PLEURAL. I CARDÍACA AGUDA,1
NEUMONIA BILATERAL POR SARS COV 2 COVID 19,1
ELEVACION SIGNIFICATIVA DIMERO D.,1
ANEMIA MEGALOBLASTICA (DEFICIT LEVE ACIDO FOLICO),1
INSUFICIENCIA RENAL PRERENAL RESUELTA,1
ÚLCERA POR PRESIÓN TROCÁNTER DERECHO ESTADÍO IV SOBREINFECTADA,1
"RETENCIÓN URINARIA, SONDAJE VESICAL TEMPORAL.",1
SIN LIMITACION FUNCIONAL EN LA ACTUALIDAD,1
ERC IIIA REAGUDIZADA,1
HEMORRAGIA INTRAPARENQUIMATOSA AGUDA GANGLIOS BASALES IZQUIERDOS,1
"CUADRO SINCOPAL , SE DESCARTA CAUSA CARDIACA",1
LUMBALGIA Y PODALGIA,1
"BACTERIEMIA POR E FAECALIS, PROTEUS MIRABILIS.",1
HERNIORRAFIA INGUINAL DERECHA,1
MALNUTRICIÓN CALÓRICO-PROTEICA MODERADA-SEVERA,1
INGRESO POR NEUMONIA BILATERAL POR SARS-COV -2 (29/01/21),1
SEPTICEMIA POR E. COLI,1
INFECCION DEL TRACTO URINARIO RESUELTA,1
HEMORRAGIA SUBARACNOIDEA CRÓNICA SIN CAMBIOS RELEVANTES,1
POLITRAUMATISMO POR PRECIPITACIÓN,1
FA FLUTTER AURICULAR,1
INSUFICIENCIA CARDÍACA INCIPIENRTE SECUNDARIA.,1
- CA DE MAMA CON MTX HEPATICAS,1
"ANEMIA SEVERA, QUE PRECISA TRANSFUSIÓN SANGUINEA",1
ABSCESO EN PSOAS IZQUIERDO.,1
ESTENOSIS AÓRTICA MODERADA E INSUFÍCIENCIA AÓRTICA LEVE,1
SEPSIS RESPIRATORIA EN RESOLUCIÓN,1
DEMENCIA SEVERA NEURODEGENERATIVA (GDS 6-7) SIN ALTERACIÓN CONDUCTUAL,1
ICTUS ISQUEMICO SUBAGUDO EN REGION FRONTAL DCH,1
PROCEDIMIENTO ENDOVASCULAR TROMBECTOMIA STENT CAROTIDEO DERECHO,1
TCE 2RIO A CAIDA DE ALTURA,1
PANCITOPENIA POR LINEZOLID.,1
SE DESCARTA SINUSITIS,1
ICC CON BAJO GASTO,1
NEUMONIA BILATERAL POR SARS COV 2 QUE PRECISO IOT Y VMI,1
CUADRO OCLUSIVO INTESTINAL,1
INFECCIO URINARIA,1
NEUMONIA ADQUIRIDA EN LA COMUNIDAD BASAL IZQUIERDA RESUELTA,1
"DETERIORO GLOBAL, ANCIANA DE RIESGO",1
FIBRILACIÓN AURICULAR RÁPIDA DE RECIENTE INICIO,1
LIGAMENTOPLASTIA CRUZADO ANTERIOR RODILLA IZDA ST-RI 814/01/2021),1
"RADICULOPATÍA L4-S1, DE PREDOMINIO L5-S1",1
DETERIORO SINTOMATICO CON MAL CONTROL DEL DOLOR,1
NEOPLASIA DE PANCREAS NO SUBSIDIARIO DE TRATAMIENTO ESPECIFICO,1
FRACTURA DE MALEOLO INTERNO DE TOBILLO DCHO - TTO. ORTOPEDICO.,1
"IR AGUDA , PRERRENAL CON HIPERNATREMIA",1
INSUFICIENCIA RENAL CRÓNICA ESTADÍO 3B AGUDIZADA POR IECAS,1
CONDROPATIA ROTULIANA RODILLA DERECHA,1
CARCINOMA EPITELIAL  CONCHA AURICULAR IZQUIERDA,1
FIBRILACIÓN AURICULAR PAROXÍSTICA NO CONOCIDA ...,1
ABSCESO PIE DERECHO,1
COLECISTITIS AGUDA LITIÁSICA EN RESOLUCIÓN.,1
CARCINOMATOSIS PERITONEAL SIN PRIMARIO ESTABLECIDO,1
ITU X E. COLI BLEE ( -),1
POSTOPERATORIO MEDIATO DE CADERA DERECHA,1
LES INCOMPLETO,1
HEMATOMA INTRAPARENQUIMATOSO PARIETAL EN PACIENYE CON ACO,1
ENFERMEDAD  RENAL CRONICA REAGUDIZADA,1
COR PULMANALE CRONICO DESCOMPENZADO,1
CAIDA CON POLICONTUSIONES + FX DE CLAVICULA DRCH,1
EFECTO DE MASA Y COLAPSO VENTRICULAR,1
PERITONITIS FECALOIDEA LOCALIZADA,1
DESNUTRICIÓN CALÓRICO-PROTEICA MODERADAO,1
ICTUS AGUDO EN ACM DERECHA ORIGEN CARDIOEMBÓLICO,1
ERC 3A-B,1
INSUFICIENCIA RENAL CRÓNICA??? AGUDIZADA,1
HSA OCCIPITAL DCH,1
I. RENAL CRÓNICA  Eº III B,1
INFECCIÓN RESPIRATORIA POR PROBABLE ASPIRACIÓN,1
SHOCK HEMODINAMICO TRANSFUNDIDO,1
FA PAROXISTICA ANTICOAGULADO,1
CARCINOMA PULMONAR ST IV PALIATIVO,1
FRACTURA-APLASTAMIENTOS VERTEBRALES DORSO-LUMBARES MÚLTIPLES,1
FRACTURA DEL PILAR ANTERIOR ACETABULO IZDO.,1
ROTURA DE MENISCO INTERNO DE RODILLA DERECHA,1
DERRAME ARTICULAR RODILLA IZQUIERDA,1
HEMATOMA SUBDURAL AGUDO FRONTOPARIETAL DCHO .,1
DERRAME PLEURAL CRÓNICO,1
PROBABLE OCLUSION SECUNDARIO A BRIDAS POSTOPERATORIAS,1
TRAUMATISMO CRÁNEO-ENCEFÁLICO,1
ICTUS EMBOLICO,1
CAIDA CON  FX  EN ARCO COSTAL IZD 9ª,1
SD. ICUW POSTCOVID,1
ENFERMEDAD CORONARIA DE UN VASO. ANGIOPLASTIA CON IMPLANTE DE STENT.,1
"HEMATOMA CEREBELOSO, RESANGRADO RECIENTE",1
PARKINSONIMSO,1
ICC CON FA RÁPIDA,1
FRACTURA  LUMBAR  L1,1
CAPSULITIS HOMBRO DERECHO,1
DETERIORO COGNITIVO SEVERO POST TCE,1
COLANGITIS - COLANGIOCARCINOMA,1
CONTUSIÓN ABDOMINAL HIPOCONDRIO IZQUIERDO.,1
ADC GASTRICO CON METASTASIS HEPATICAS,1
FRACASO RENAL AGUDO DE POSIBLE ETIOLOGIA FUNCIONAL (HIPOTENSIÓN),1
ACTINOMICOSIS PULMONAR CON MALA EVOLUCIÓN,1
MENISCOPATIA INTERNA RODILLA,1
"ICC AGUDA, CON INSUF RESPIRATORIA PERSISTENTE",1
- DM MAL CONTROLADA,1
DESNUTRICIÓN CALÓRICO-PROTEICA CRÓNICA,1
ICTUS IQUEMICO DE ARTERIA CEREBRAL MEDIA IZQUIERDA ATEROTROMBOTICO,1
NEOPLASIA DE COLEDOCO,1
ULCERA VACULAR + CELULITIS CARA ANTERIOR PIERNA IZQ.,1
DETERIORO COGNITIVO EN GRADO LEVE-MODERADO SECUNDARIO A ENF. CEREBROVA,1
MELANOMA DE COROIDES CON MT HEPATICA,1
FRACTURA CUELLO DE FEMUR DCH,1
ITU  EN PCTE CON HBP Y SONDAJE VESICAL,1
DESORIENTACION SECUNDARIO A  PREVIOS,1
CIRROSIS CRIPTOGENÉTICA,1
COXALGIA POSTRAUMATICA,1
HIPOGLUCEMIAS SECUNDARIA A FÁRMACOS,1
ITU POR  PROTEUS MIRABILIS,1
ITU PROBABLE. HA CULMINADO TTO,1
HERNIA DE SPIEGEL.,1
MAREO CON PRESINCOPE A ESTUDIO,1
FRACTURA DISTAL HÚMERO IZQUIERDO,1
DESNUTRICIÓN C-P MODERADA,1
SAHOS SEVERO,1
ICTUS DEL DESPERTAR 13/12/2020. EMBOLIA PARADOJICA HEMISFERIO IZDO.,1
ICTUS ISQUEMICO GANGLIOS BASALES DCHOS (14/08/2021),1
DEBILIDAD MMII (DCHO). ALT. BIPEDESTACION Y MARCHA,1
DEMENCIA MODERADA DE PROBABLE ORIGEN VASCULAR,1
FRACTURA DE RAMA  ILIOPUBIANA IZQUIERDA,1
FRACTURA DE CLAVICULA Y ESCAPULA DCHA.,1
HIPERCALCEMIA E HIPONATREMIA,1
TRAUMATISMO TORÁCICO CON HEMATOMA MAMA DCHA,1
FRACTURAS COSTALES MULTIPLES BILATERALES,1
INFECCIÓN RESPIRATORIA DE VÍAS INFERIORES GRAVE COVID-19 NEGATIVA,1
NÓDULO PULMONAR A ESTUDIO,1
CARDIOPATIA ISQEUMICA,1
SEPSIS 2ª A NEUMONÍA BILATERAL GRAVE,1
DESHIDRATACIÓN HIPERNATRÉMICA CON HIPERPOTASEMIA SEVERA,1
SD CONFUSIONAL CON AGITACIÓN NOCTURNA.,1
DM TIPO 2 CON MAL CONTROL DE GLUCEMIAS,1
NO SUBSIDIARIA DE TRATAMIENTO NEURO QUIRURGICO,1
FISURA 9º ARCO COSTAL IZQUIERDO.,1
INSUFICIENCIA CARDIACA NYHA IV,1
ERC TERMINAL EN MANEJO PALIATIVO,1
SÍNDROME MIEMBRO FANTASMA MII.,1
SINDROME GENERIA / CONSTITUCIONAL SECUNDARIO,1
INGRESO POR INSUFICIENCIA CARDIACA CONGESTIVA,1
ICTUS ISQUEMICO A. BASILAR (16/11/20) TROMBECTOMIA MECANICA.,1
INGRESO POR NEUMONIA BILATERAL - SARS-COV - 2 (25/10/20),1
NEUROPATIA POR ATRAPAMIENTO N. C.P.E.IZDO EN CABEZA DEL PERONE,1
HEMORAGIA DE LA CISURA INTERHEMISFÉRICA Y DE LA TIENDA DEL CEREBELO,1
ICTUS ISQUÉMICO- OBSTRUCCIÓN M1 DE ACM IZQUIERDA,1
ICTUS ISQUEMICO EN TERRITORIO DE ACM IZQ SOMETIDO A TEV EN FASE AGUDA,1
"FRACTURA SUCBAPITAL FÉMUR IZQUIERDO, CON TTO QX",1
"ANEMIA MULTIFACTORIAL, CON FERROPENIA.",1
POLICONTUSIONES HOMBRO DERECHO Y PABELLON AURICULAR,1
INSUFICIENCIA RENAL CRÓNICA  E  G 3B- G 4,1
ERC POST RENAL,1
ESPASTICIDAD MB. SUP .IZDO . ESCALA ANSWORTH 3-4.,1
BROTE ARTRÍTICO POLIARTICULAR,1
CONTUSION DE LA CADERA DERECHA,1
ARTROPLASTIA TOTAL RODILLA DCHA (11/05/2021),1
ADC GÁSTRICO MT PULMONARES Y PERITONEALES EN MANEJO PALIATIVO.,1
PACIENTE ONCOLÓGICO EN TRATAMIENTO PALIATIVO.,1
ICTUS ATEROTROMBOTICO RECURRENTE CEREBRAL MEDIA DCHA (15/12/2021),1
ICTUS HEMORRAGICO - HEMATOMA GANGLIOBASAL IZQUIERDO,1
ICC DE BAJO GASTO.,1
INFECCION URINARIA  POR,1
REINTERVENCION - PLASTIA DE BANCO  LCA  (12/02/2021),1
- ESPONDILODISCITIS D12 - L1,1
SOSPECHA INFECCIÓN TRACTO URINARIO,1
ABDOMEN AGUDO. SEPSIS SECUNDARIA,1
INSUFICIENCIA CARDIACA CON DISM DE LA FRACCIÓN DE EYECCIÓN SEVERA,1
INFECCIÓN DEL TRACTO URINARIO X E. COLI,1
PREVIAS DESCRITAS EN SUS ANTECEENTES,1
